Results: 	[0.7432]	
Results: 	[0.7432, 0.7104]	
Results: 	[0.7432, 0.7104, 0.7307]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355, 0.7495]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355, 0.7495, 0.7733]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355, 0.7495, 0.7733, 0.8545]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355, 0.7495, 0.7733, 0.8545, 0.6065]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355, 0.7495, 0.7733, 0.8545, 0.6065, 0.8461]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355, 0.7495, 0.7733, 0.8545, 0.6065, 0.8461, 0.7486]	
Results: 	[0.7432, 0.7104, 0.7307, 0.7476, 0.8595, 0.752, 0.9221, 0.8194, 0.7762, 0.862, 0.6775, 0.9194, 0.9244, 0.6046, 0.661, 0.7856, 0.9242, 0.8612, 0.8443, 0.8551, 0.9372, 0.8094, 0.7355, 0.7495, 0.7733, 0.8545, 0.6065, 0.8461, 0.7486, 0.9061]
30 Support Sets: (Mean:0.7982366666666667, SD:0.09352085691524067) | 	







