Results: 	[0.6718]	
Results: 	[0.6718, 0.5767]	
Results: 	[0.6718, 0.5767, 0.6712]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612, 0.6484]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612, 0.6484, 0.6021]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612, 0.6484, 0.6021, 0.6198]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612, 0.6484, 0.6021, 0.6198, 0.6631]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612, 0.6484, 0.6021, 0.6198, 0.6631, 0.6258]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612, 0.6484, 0.6021, 0.6198, 0.6631, 0.6258, 0.6606]	
Results: 	[0.6718, 0.5767, 0.6712, 0.6688, 0.6783, 0.6083, 0.6677, 0.6676, 0.5891, 0.6498, 0.6034, 0.6505, 0.6305, 0.669, 0.6349, 0.6878, 0.6621, 0.6518, 0.6037, 0.6579, 0.6743, 0.6721, 0.6612, 0.6484, 0.6021, 0.6198, 0.6631, 0.6258, 0.6606, 0.5929]
30 Support Sets: (Mean:0.64404, SD:0.031031725701288353) | 	










