Results: 	[0.8323]	
Results: 	[0.8323, 0.9309]	
Results: 	[0.8323, 0.9309, 0.8572]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184, 0.6955]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184, 0.6955, 0.935]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184, 0.6955, 0.935, 0.9093]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184, 0.6955, 0.935, 0.9093, 0.9285]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184, 0.6955, 0.935, 0.9093, 0.9285, 0.9419]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184, 0.6955, 0.935, 0.9093, 0.9285, 0.9419, 0.8164]	
Results: 	[0.8323, 0.9309, 0.8572, 0.931, 0.8969, 0.6855, 0.9366, 0.9364, 0.6519, 0.8429, 0.7226, 0.8074, 0.8074, 0.9359, 0.7773, 0.9021, 0.9431, 0.8184, 0.6955, 0.935, 0.9093, 0.9285, 0.9419, 0.8164, 0.938]	
