Results: 	[0.5581]	
Results: 	[0.5581, 0.1667]	
Results: 	[0.5581, 0.1667, 0.5136]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682, 0.5698]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682, 0.5698, 0.469]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682, 0.5698, 0.469, 0.3411]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682, 0.5698, 0.469, 0.3411, 0.5388]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682, 0.5698, 0.469, 0.3411, 0.5388, 0.624]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682, 0.5698, 0.469, 0.3411, 0.5388, 0.624, 0.345]	
Results: 	[0.5581, 0.1667, 0.5136, 0.376, 0.4574, 0.6473, 0.3643, 0.3643, 0.6512, 0.4922, 0.5853, 0.5543, 0.5116, 0.3682, 0.5698, 0.469, 0.3411, 0.5388, 0.624, 0.345, 0.4264]	
