Results: 	[0.9427]	
Results: 	[0.9427, 0.946]	
Results: 	[0.9427, 0.946, 0.9459]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947, 0.9469]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947, 0.9469, 0.9442]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947, 0.9469, 0.9442, 0.9464]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947, 0.9469, 0.9442, 0.9464, 0.9444]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947, 0.9469, 0.9442, 0.9464, 0.9444, 0.9436]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947, 0.9469, 0.9442, 0.9464, 0.9444, 0.9436, 0.9467]	
Results: 	[0.9427, 0.946, 0.9459, 0.9443, 0.9485, 0.945, 0.9498, 0.9451, 0.9454, 0.9452, 0.9477, 0.9471, 0.9445, 0.945, 0.9455, 0.9445, 0.9466, 0.9451, 0.9467, 0.9468, 0.9482, 0.9472, 0.947, 0.9469, 0.9442, 0.9464, 0.9444, 0.9436, 0.9467, 0.9459]
30 Support Sets: (Mean:0.94593, SD:0.001549226725910657) | 	


