Results: 	[0.989]	
Results: 	[0.989, 0.9835]	
Results: 	[0.989, 0.9835, 0.9879]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846, 0.9868]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846, 0.9868, 0.9828]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846, 0.9868, 0.9828, 0.9868]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846, 0.9868, 0.9828, 0.9868, 0.9839]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846, 0.9868, 0.9828, 0.9868, 0.9839, 0.9833]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846, 0.9868, 0.9828, 0.9868, 0.9839, 0.9833, 0.9828]	
Results: 	[0.989, 0.9835, 0.9879, 0.9795, 0.9835, 0.987, 0.9875, 0.9859, 0.9815, 0.9905, 0.9868, 0.9833, 0.9919, 0.9879, 0.9853, 0.9883, 0.9835, 0.9822, 0.9824, 0.9868, 0.9881, 0.9883, 0.9846, 0.9868, 0.9828, 0.9868, 0.9839, 0.9833, 0.9828, 0.9888]
30 Support Sets: (Mean:0.98568, SD:0.0029209587467131353) | 	








































