Results: 	[0.948]	
Results: 	[0.948, 0.9457]	
Results: 	[0.948, 0.9457, 0.9411]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438, 0.9463]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438, 0.9463, 0.947]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438, 0.9463, 0.947, 0.948]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438, 0.9463, 0.947, 0.948, 0.9445]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438, 0.9463, 0.947, 0.948, 0.9445, 0.9447]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438, 0.9463, 0.947, 0.948, 0.9445, 0.9447, 0.9434]	
Results: 	[0.948, 0.9457, 0.9411, 0.9428, 0.9482, 0.9403, 0.9468, 0.9482, 0.9489, 0.9399, 0.9468, 0.9451, 0.9459, 0.9424, 0.9463, 0.9388, 0.9459, 0.9443, 0.9403, 0.9438, 0.9463, 0.947, 0.948, 0.9445, 0.9447, 0.9434, 0.9491]	
