Results: 	[0.9495]	
Results: 	[0.9495, 0.9484]	
Results: 	[0.9495, 0.9484, 0.9487]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507, 0.9478]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507, 0.9478, 0.9509]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507, 0.9478, 0.9509, 0.949]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507, 0.9478, 0.9509, 0.949, 0.9506]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507, 0.9478, 0.9509, 0.949, 0.9506, 0.9487]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507, 0.9478, 0.9509, 0.949, 0.9506, 0.9487, 0.9492]	
Results: 	[0.9495, 0.9484, 0.9487, 0.9469, 0.9508, 0.9476, 0.9489, 0.9499, 0.9495, 0.9487, 0.9511, 0.9501, 0.9507, 0.9467, 0.9515, 0.9507, 0.9478, 0.9509, 0.949, 0.9506, 0.9487, 0.9492, 0.9483]	
