Results: 	[0.7262]	
Results: 	[0.7262, 0.7277]	
Results: 	[0.7262, 0.7277, 0.7338]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211, 0.7387]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211, 0.7387, 0.7274]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211, 0.7387, 0.7274, 0.7247]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211, 0.7387, 0.7274, 0.7247, 0.7233]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211, 0.7387, 0.7274, 0.7247, 0.7233, 0.7345]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211, 0.7387, 0.7274, 0.7247, 0.7233, 0.7345, 0.7216]	
Results: 	[0.7262, 0.7277, 0.7338, 0.7347, 0.7263, 0.7334, 0.7256, 0.7159, 0.7211, 0.7387, 0.7274, 0.7247, 0.7233, 0.7345, 0.7216, 0.7372]	
