Results: 	[0.4783]	
Results: 	[0.4783, 0.4841]	
Results: 	[0.4783, 0.4841, 0.502]	
Results: 	[0.4783, 0.4841, 0.502, 0.502]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783, 0.4941]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783, 0.4941, 0.5059]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783, 0.4941, 0.5059, 0.4901]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783, 0.4941, 0.5059, 0.4901, 0.4743]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783, 0.4941, 0.5059, 0.4901, 0.4743, 0.4901]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783, 0.4941, 0.5059, 0.4901, 0.4743, 0.4901, 0.4743]	
Results: 	[0.4783, 0.4841, 0.502, 0.502, 0.4783, 0.502, 0.4783, 0.4563, 0.4664, 0.5138, 0.4822, 0.4783, 0.4743, 0.502, 0.4704, 0.5119, 0.4783, 0.4941, 0.5059, 0.4901, 0.4743, 0.4901, 0.4743, 0.4901]	
