Results: 	[0.9819]	
Results: 	[0.9819, 0.9782]	
Results: 	[0.9819, 0.9782, 0.9795]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775, 0.9789]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775, 0.9789, 0.9835]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775, 0.9789, 0.9835, 0.9837]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775, 0.9789, 0.9835, 0.9837, 0.9806]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775, 0.9789, 0.9835, 0.9837, 0.9806, 0.9808]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775, 0.9789, 0.9835, 0.9837, 0.9806, 0.9808, 0.9903]	
Results: 	[0.9819, 0.9782, 0.9795, 0.9751, 0.9844, 0.9784, 0.9789, 0.9822, 0.9819, 0.9804, 0.9844, 0.9828, 0.985, 0.9742, 0.9852, 0.9839, 0.9786, 0.983, 0.9808, 0.9831, 0.98, 0.9793, 0.9775, 0.9789, 0.9835, 0.9837, 0.9806, 0.9808, 0.9903, 0.9868]
30 Support Sets: (Mean:0.9814433333333333, SD:0.0034082742456165915) | 	


























































































































































































