[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5015134810956409],[0.7224704456460804],[0.6932825463547749],[0.7729064039408867],[0.9401501318725908],[0.7729064039408867],[0.5015134810956408]]	 ; [[0.5015134810956409],[0.7224704456460804],[0.6932825463547749],[0.7729064039408867],[0.9401501318725908],[0.7729064039408867],[0.5015134810956408]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5121450304259635],[0.7331048392181757],[0.7119460056421419],[0.7912972085385879],[0.9630831643002028],[0.7912972085385879],[0.5121450304259635]]	 ; [[0.5121450304259635],[0.7331048392181757],[0.7119460056421419],[0.7912972085385879],[0.9630831643002028],[0.7912972085385879],[0.5121450304259635]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5208941124169931],[0.7420266188152442],[0.7623904311394745],[0.8106732348111658],[0.989247311827957],[0.8106732348111658],[0.5208941124169931]]	 ; [[0.5208941124169931],[0.7420266188152442],[0.7623904311394745],[0.8106732348111658],[0.989247311827957],[0.8106732348111658],[0.5208941124169931]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5196754563894523],[0.7415335567194768],[0.7856820462465388],[0.8136288998357963],[0.9945233265720081],[0.8136288998357963],[0.5196754563894523]]	 ; [[0.5208941124169931],[0.7420266188152442],[0.7856820462465388],[0.8136288998357963],[0.9945233265720081],[0.8136288998357963],[0.5208941124169931]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5006592292089249],[0.7249343927465347],[0.75073157754722],[0.8095238095238095],[0.9995943204868154],[0.8095238095238095],[0.5006592292089249]]	 ; [[0.5208941124169931],[0.7420266188152442],[0.7856820462465388],[0.8136288998357963],[0.9995943204868154],[0.8136288998357963],[0.5208941124169931]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5040004760099878],[0.7278435479620963],[0.7345667376867386],[0.8083743842364532],[0.9959423818218706],[0.8083743842364532],[0.5040004760099879]]	 ; [[0.5208941124169931],[0.7420266188152442],[0.7856820462465388],[0.8136288998357963],[0.9995943204868154],[0.8136288998357963],[0.5208941124169931]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5038032454361054],[0.7278045762564406],[0.7832647462277091],[0.8103448275862069],[0.9989858012170385],[0.8103448275862069],[0.5038032454361054]]	 ; [[0.5208941124169931],[0.7420266188152442],[0.7856820462465388],[0.8136288998357963],[0.9995943204868154],[0.8136288998357963],[0.5208941124169931]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5567697768762677],[0.7708473949851586],[0.8256505980770688],[0.8272577996715927],[0.993711967545639],[0.8272577996715927],[0.5567697768762677]]	 ; [[0.5567697768762677],[0.7708473949851586],[0.8256505980770688],[0.8272577996715927],[0.9995943204868154],[0.8272577996715927],[0.5567697768762677]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6978194726166328],[0.8234587394024658],[0.8202535710060178],[0.8277504105090312],[0.907707910750507],[0.8277504105090312],[0.6978194726166328]]	 ; [[0.6978194726166328],[0.8234587394024658],[0.8256505980770688],[0.8277504105090312],[0.9995943204868154],[0.8277504105090312],[0.6978194726166328]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6227225045255025],[0.8080009123589603],[0.8174061158783986],[0.8369458128078818],[0.9689592209373098],[0.8369458128078818],[0.6227225045255025]]	 ; [[0.6978194726166328],[0.8234587394024658],[0.8256505980770688],[0.8369458128078818],[0.9995943204868154],[0.8369458128078818],[0.6978194726166328]]
