Results: 	[0.5764]	
Results: 	[0.5764, 0.6289]	
Results: 	[0.5764, 0.6289, 0.7347]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963, 0.9196]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963, 0.9196, 0.6646]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963, 0.9196, 0.6646, 0.7667]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963, 0.9196, 0.6646, 0.7667, 0.7482]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963, 0.9196, 0.6646, 0.7667, 0.7482, 0.8558]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963, 0.9196, 0.6646, 0.7667, 0.7482, 0.8558, 0.678]	
Results: 	[0.5764, 0.6289, 0.7347, 0.723, 0.8441, 0.8658, 0.881, 0.826, 0.7253, 0.843, 0.8587, 0.96, 0.7504, 0.8488, 0.8824, 0.8786, 0.7953, 0.8504, 0.8999, 0.6242, 0.7093, 0.6929, 0.963, 0.9196, 0.6646, 0.7667, 0.7482, 0.8558, 0.678, 0.4673]
30 Support Sets: (Mean:0.7820766666666666, SD:0.11780369610539371) | 	




