Results: 	[0.8875]	
Results: 	[0.8875, 0.886]	
Results: 	[0.8875, 0.886, 0.8969]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836, 0.8924]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836, 0.8924, 0.8929]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836, 0.8924, 0.8929, 0.8936]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836, 0.8924, 0.8929, 0.8936, 0.8896]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836, 0.8924, 0.8929, 0.8936, 0.8896, 0.8974]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836, 0.8924, 0.8929, 0.8936, 0.8896, 0.8974, 0.8918]	
Results: 	[0.8875, 0.886, 0.8969, 0.8776, 0.9061, 0.8984, 0.8791, 0.8956, 0.8995, 0.8941, 0.8908, 0.8829, 0.8919, 0.9038, 0.8905, 0.8827, 0.8942, 0.897, 0.8883, 0.8794, 0.8525, 0.8847, 0.8836, 0.8924, 0.8929, 0.8936, 0.8896, 0.8974, 0.8918, 0.8814]
30 Support Sets: (Mean:0.8894066666666667, SD:0.010026067174545841) | 	

























