Results: 	[0.8905]	
Results: 	[0.8905, 0.8908]	
Results: 	[0.8905, 0.8908, 0.886]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958, 0.8841]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958, 0.8841, 0.877]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958, 0.8841, 0.877, 0.8894]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958, 0.8841, 0.877, 0.8894, 0.8903]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958, 0.8841, 0.877, 0.8894, 0.8903, 0.8892]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958, 0.8841, 0.877, 0.8894, 0.8903, 0.8892, 0.8915]	
Results: 	[0.8905, 0.8908, 0.886, 0.8917, 0.8908, 0.8862, 0.8855, 0.8877, 0.8897, 0.8894, 0.8901, 0.8856, 0.8901, 0.8874, 0.9043, 0.8859, 0.8833, 0.8901, 0.888, 0.8929, 0.8805, 0.8901, 0.8958, 0.8841, 0.877, 0.8894, 0.8903, 0.8892, 0.8915, 0.8838]
30 Support Sets: (Mean:0.88859, SD:0.004826103590068184) | 	
