Results: 	[0.8158]	
Results: 	[0.8158, 0.7819]	
Results: 	[0.8158, 0.7819, 0.8067]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475, 0.8488]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475, 0.8488, 0.7521]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475, 0.8488, 0.7521, 0.8146]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475, 0.8488, 0.7521, 0.8146, 0.6048]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475, 0.8488, 0.7521, 0.8146, 0.6048, 0.8433]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475, 0.8488, 0.7521, 0.8146, 0.6048, 0.8433, 0.7337]	
Results: 	[0.8158, 0.7819, 0.8067, 0.8541, 0.8485, 0.8031, 0.8729, 0.8416, 0.8538, 0.8711, 0.8382, 0.8061, 0.8521, 0.6438, 0.7717, 0.7715, 0.8275, 0.8475, 0.8488, 0.7521, 0.8146, 0.6048, 0.8433, 0.7337, 0.7005]	
