Results: 	[0.8707]	
Results: 	[0.8707, 0.8689]	
Results: 	[0.8707, 0.8689, 0.8546]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788, 0.6869]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788, 0.6869, 0.8691]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788, 0.6869, 0.8691, 0.8677]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788, 0.6869, 0.8691, 0.8677, 0.8693]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788, 0.6869, 0.8691, 0.8677, 0.8693, 0.8627]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788, 0.6869, 0.8691, 0.8677, 0.8693, 0.8627, 0.8457]	
Results: 	[0.8707, 0.8689, 0.8546, 0.8684, 0.8786, 0.8126, 0.8064, 0.842, 0.8182, 0.8695, 0.8154, 0.8788, 0.6869, 0.8691, 0.8677, 0.8693, 0.8627, 0.8457, 0.7227]	
