Results: 	[0.6759]	
Results: 	[0.6759, 0.6964]	
Results: 	[0.6759, 0.6964, 0.7033]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944, 0.7039]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944, 0.7039, 0.7182]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944, 0.7039, 0.7182, 0.7044]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944, 0.7039, 0.7182, 0.7044, 0.6898]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944, 0.7039, 0.7182, 0.7044, 0.6898, 0.6898]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944, 0.7039, 0.7182, 0.7044, 0.6898, 0.6898, 0.7143]	
Results: 	[0.6759, 0.6964, 0.7033, 0.6531, 0.7232, 0.6877, 0.7102, 0.6618, 0.673, 0.6872, 0.6903, 0.7016, 0.7018, 0.6837, 0.6782, 0.691, 0.6918, 0.6739, 0.6678, 0.6609, 0.6944, 0.7039, 0.7182, 0.7044, 0.6898, 0.6898, 0.7143, 0.7206]	
