Results: 	[0.4741]	
Results: 	[0.4741, 0.7897]	
Results: 	[0.4741, 0.7897, 0.7452]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851, 0.871]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851, 0.871, 0.8082]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851, 0.871, 0.8082, 0.7498]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851, 0.871, 0.8082, 0.7498, 0.6751]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851, 0.871, 0.8082, 0.7498, 0.6751, 0.6973]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851, 0.871, 0.8082, 0.7498, 0.6751, 0.6973, 0.7823]	
Results: 	[0.4741, 0.7897, 0.7452, 0.8277, 0.6326, 0.7888, 0.5857, 0.7072, 0.8344, 0.8204, 0.7911, 0.7893, 0.8498, 0.6923, 0.8165, 0.8701, 0.8787, 0.832, 0.667, 0.8833, 0.6976, 0.8595, 0.851, 0.871, 0.8082, 0.7498, 0.6751, 0.6973, 0.7823, 0.845]
30 Support Sets: (Mean:0.7704233333333333, SD:0.09687774977929065) | 	













