Results: 	[0.8744]	
Results: 	[0.8744, 0.8674]	
Results: 	[0.8744, 0.8674, 0.8713]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696, 0.876]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696, 0.876, 0.8713]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696, 0.876, 0.8713, 0.8712]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696, 0.876, 0.8713, 0.8712, 0.8689]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696, 0.876, 0.8713, 0.8712, 0.8689, 0.8648]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696, 0.876, 0.8713, 0.8712, 0.8689, 0.8648, 0.8636]	
Results: 	[0.8744, 0.8674, 0.8713, 0.8737, 0.8731, 0.8736, 0.8767, 0.8564, 0.875, 0.8738, 0.8617, 0.8727, 0.8597, 0.8774, 0.8696, 0.876, 0.8713, 0.8712, 0.8689, 0.8648, 0.8636, 0.872]	
