Results: 	[0.7304]	
Results: 	[0.7304, 0.7141]	
Results: 	[0.7304, 0.7141, 0.7038]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399, 0.7219]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399, 0.7219, 0.706]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399, 0.7219, 0.706, 0.7095]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399, 0.7219, 0.706, 0.7095, 0.7056]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399, 0.7219, 0.706, 0.7095, 0.7056, 0.6866]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399, 0.7219, 0.706, 0.7095, 0.7056, 0.6866, 0.7287]	
Results: 	[0.7304, 0.7141, 0.7038, 0.719, 0.7246, 0.7323, 0.7312, 0.6778, 0.7337, 0.72, 0.6987, 0.7281, 0.6912, 0.7449, 0.7181, 0.7399, 0.7219, 0.706, 0.7095, 0.7056, 0.6866, 0.7287, 0.7069]	
