Results: 	[0.905]	
Results: 	[0.905, 0.5875]	
Results: 	[0.905, 0.5875, 0.6677]	
Results: 	[0.905, 0.5875, 0.6677, 0.567]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267, 0.2522]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267, 0.2522, 0.5929]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267, 0.2522, 0.5929, 0.6261]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267, 0.2522, 0.5929, 0.6261, 0.7003]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267, 0.2522, 0.5929, 0.6261, 0.7003, 0.7418]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267, 0.2522, 0.5929, 0.6261, 0.7003, 0.7418, 0.6513]	
Results: 	[0.905, 0.5875, 0.6677, 0.567, 0.8175, 0.589, 0.7982, 0.684, 0.5089, 0.6128, 0.5997, 0.6395, 0.523, 0.6558, 0.6107, 0.3813, 0.0193, 0.5816, 0.7786, 0.1142, 0.7415, 0.3967, 0.5267, 0.2522, 0.5929, 0.6261, 0.7003, 0.7418, 0.6513, 0.5126]
30 Support Sets: (Mean:0.5794466666666667, SD:0.19309350733443278) | 	













