Results: 	[0.8899]	
Results: 	[0.8899, 0.8901]	
Results: 	[0.8899, 0.8901, 0.8942]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878, 0.8858]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878, 0.8858, 0.8897]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878, 0.8858, 0.8897, 0.8857]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878, 0.8858, 0.8897, 0.8857, 0.8915]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878, 0.8858, 0.8897, 0.8857, 0.8915, 0.8811]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878, 0.8858, 0.8897, 0.8857, 0.8915, 0.8811, 0.8885]	
Results: 	[0.8899, 0.8901, 0.8942, 0.8924, 0.8866, 0.8964, 0.8925, 0.8914, 0.9019, 0.8965, 0.8938, 0.8937, 0.8965, 0.8889, 0.889, 0.8954, 0.8962, 0.8918, 0.8872, 0.8846, 0.8847, 0.8902, 0.8878, 0.8858, 0.8897, 0.8857, 0.8915, 0.8811, 0.8885, 0.8933]
30 Support Sets: (Mean:0.89091, SD:0.004500524873604293) | 	





