Results: 	[0.5579]	
Results: 	[0.5579, 0.5908]	
Results: 	[0.5579, 0.5908, 0.5238]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905, 0.5944]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905, 0.5944, 0.5801]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905, 0.5944, 0.5801, 0.5438]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905, 0.5944, 0.5801, 0.5438, 0.6217]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905, 0.5944, 0.5801, 0.5438, 0.6217, 0.5341]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905, 0.5944, 0.5801, 0.5438, 0.6217, 0.5341, 0.4717]	
Results: 	[0.5579, 0.5908, 0.5238, 0.5045, 0.6217, 0.5148, 0.6202, 0.5564, 0.503, 0.6256, 0.5714, 0.5341, 0.5905, 0.5944, 0.5801, 0.5438, 0.6217, 0.5341, 0.4717, 0.5506]	
