Results: 	[0.9215]	
Results: 	[0.9215, 0.9106]	
Results: 	[0.9215, 0.9106, 0.9384]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644, 0.8997]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644, 0.8997, 0.9392]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644, 0.8997, 0.9392, 0.9211]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644, 0.8997, 0.9392, 0.9211, 0.9184]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644, 0.8997, 0.9392, 0.9211, 0.9184, 0.9543]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644, 0.8997, 0.9392, 0.9211, 0.9184, 0.9543, 0.9444]	
Results: 	[0.9215, 0.9106, 0.9384, 0.9512, 0.8986, 0.9471, 0.8999, 0.9256, 0.9524, 0.8999, 0.9198, 0.9322, 0.9127, 0.9147, 0.9162, 0.9347, 0.8997, 0.9322, 0.9631, 0.9266, 0.9471, 0.9264, 0.9644, 0.8997, 0.9392, 0.9211, 0.9184, 0.9543, 0.9444, 0.9197]
30 Support Sets: (Mean:0.9277266666666667, SD:0.019404175400890036) | 	




