Results: 	[0.76]	
Results: 	[0.76, 0.859]	
Results: 	[0.76, 0.859, 0.7939]	
Results: 	[0.76, 0.859, 0.7939, 0.824]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936, 0.848]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936, 0.848, 0.7637]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936, 0.848, 0.7637, 0.875]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936, 0.848, 0.7637, 0.875, 0.8636]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936, 0.848, 0.7637, 0.875, 0.8636, 0.8686]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936, 0.848, 0.7637, 0.875, 0.8636, 0.8686, 0.8708]	
Results: 	[0.76, 0.859, 0.7939, 0.824, 0.842, 0.8584, 0.8001, 0.8608, 0.8257, 0.7791, 0.8531, 0.8521, 0.8411, 0.8548, 0.7963, 0.5826, 0.86, 0.831, 0.8155, 0.8612, 0.8831, 0.8519, 0.6936, 0.848, 0.7637, 0.875, 0.8636, 0.8686, 0.8708, 0.8387]
30 Support Sets: (Mean:0.82359, SD:0.061712796135781685) | 	
































































































































































































































































































































