Results: 	[0.8756]	
Results: 	[0.8756, 0.8607]	
Results: 	[0.8756, 0.8607, 0.8672]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636, 0.8794]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636, 0.8794, 0.8751]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636, 0.8794, 0.8751, 0.861]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636, 0.8794, 0.8751, 0.861, 0.8692]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636, 0.8794, 0.8751, 0.861, 0.8692, 0.8821]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636, 0.8794, 0.8751, 0.861, 0.8692, 0.8821, 0.8727]	
Results: 	[0.8756, 0.8607, 0.8672, 0.8619, 0.8729, 0.8703, 0.8651, 0.8679, 0.8576, 0.8687, 0.8531, 0.8662, 0.8679, 0.8557, 0.8892, 0.8818, 0.8864, 0.8668, 0.872, 0.8797, 0.8753, 0.8553, 0.8636, 0.8794, 0.8751, 0.861, 0.8692, 0.8821, 0.8727, 0.8739]
30 Support Sets: (Mean:0.86981, SD:0.009147765885157708) | 	



















