Results: 	[0.581]	
Results: 	[0.581, 0.633]	
Results: 	[0.581, 0.633, 0.6068]	
Results: 	[0.581, 0.633, 0.6068, 0.6276]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415, 0.5697]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415, 0.5697, 0.5491]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415, 0.5697, 0.5491, 0.6048]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415, 0.5697, 0.5491, 0.6048, 0.5944]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415, 0.5697, 0.5491, 0.6048, 0.5944, 0.5653]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415, 0.5697, 0.5491, 0.6048, 0.5944, 0.5653, 0.5816]	
Results: 	[0.581, 0.633, 0.6068, 0.6276, 0.589, 0.6024, 0.6062, 0.6033, 0.6374, 0.6033, 0.6469, 0.6122, 0.6062, 0.638, 0.5415, 0.5697, 0.5491, 0.6048, 0.5944, 0.5653, 0.5816, 0.6439]	
