Results: 	[0.6825]	
Results: 	[0.6825, 0.7037]	
Results: 	[0.6825, 0.7037, 0.7027]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867, 0.7122]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867, 0.7122, 0.7033]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867, 0.7122, 0.7033, 0.6946]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867, 0.7122, 0.7033, 0.6946, 0.7131]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867, 0.7122, 0.7033, 0.6946, 0.7131, 0.7001]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867, 0.7122, 0.7033, 0.6946, 0.7131, 0.7001, 0.6787]	
Results: 	[0.6825, 0.7037, 0.7027, 0.6362, 0.7135, 0.7005, 0.6559, 0.6536, 0.7081, 0.505, 0.6978, 0.7124, 0.7125, 0.5, 0.7134, 0.7008, 0.6598, 0.6719, 0.7019, 0.679, 0.6727, 0.7057, 0.6867, 0.7122, 0.7033, 0.6946, 0.7131, 0.7001, 0.6787, 0.6841]
30 Support Sets: (Mean:0.6787466666666667, SD:0.05205581045665172) | 	




















































