Results: 	[0.6566]	
Results: 	[0.6566, 0.8555]	
Results: 	[0.6566, 0.8555, 0.7291]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217, 0.8228]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217, 0.8228, 0.8254]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217, 0.8228, 0.8254, 0.8639]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217, 0.8228, 0.8254, 0.8639, 0.7127]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217, 0.8228, 0.8254, 0.8639, 0.7127, 0.7663]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217, 0.8228, 0.8254, 0.8639, 0.7127, 0.7663, 0.759]	
Results: 	[0.6566, 0.8555, 0.7291, 0.5179, 0.7601, 0.8682, 0.6566, 0.5902, 0.8422, 0.8823, 0.8555, 0.8451, 0.7727, 0.8824, 0.8596, 0.9044, 0.6217, 0.8228, 0.8254, 0.8639, 0.7127, 0.7663, 0.759, 0.9069]	
