Results: 	[0.8902]	
Results: 	[0.8902, 0.9095]	
Results: 	[0.8902, 0.9095, 0.8986]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077, 0.8915]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077, 0.8915, 0.8988]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077, 0.8915, 0.8988, 0.9179]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077, 0.8915, 0.8988, 0.9179, 0.8998]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077, 0.8915, 0.8988, 0.9179, 0.8998, 0.8998]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077, 0.8915, 0.8988, 0.9179, 0.8998, 0.8998, 0.9002]	
Results: 	[0.8902, 0.9095, 0.8986, 0.9085, 0.896, 0.8975, 0.9002, 0.8971, 0.9049, 0.9008, 0.8906, 0.9069, 0.9077, 0.8915, 0.8988, 0.9179, 0.8998, 0.8998, 0.9002, 0.8948]	
