Results: 	[0.8955]	
Results: 	[0.8955, 0.8896]	
Results: 	[0.8955, 0.8896, 0.9106]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167, 0.8962]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167, 0.8962, 0.909]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167, 0.8962, 0.909, 0.9255]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167, 0.8962, 0.909, 0.9255, 0.9068]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167, 0.8962, 0.909, 0.9255, 0.9068, 0.9136]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167, 0.8962, 0.909, 0.9255, 0.9068, 0.9136, 0.8969]	
Results: 	[0.8955, 0.8896, 0.9106, 0.8293, 0.919, 0.9093, 0.8882, 0.8781, 0.9244, 0.8874, 0.9232, 0.8986, 0.8776, 0.9054, 0.9244, 0.8912, 0.9167, 0.8962, 0.909, 0.9255, 0.9068, 0.9136, 0.8969, 0.905]	
