Results: 	[0.4515]	
Results: 	[0.4515, 0.5611]	
Results: 	[0.4515, 0.5611, 0.4718]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611, 0.553]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611, 0.553, 0.5079]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611, 0.553, 0.5079, 0.5182]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611, 0.553, 0.5079, 0.5182, 0.5621]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611, 0.553, 0.5079, 0.5182, 0.5621, 0.5498]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611, 0.553, 0.5079, 0.5182, 0.5621, 0.5498, 0.4989]	
Results: 	[0.4515, 0.5611, 0.4718, 0.5317, 0.509, 0.6072, 0.4853, 0.6027, 0.4289, 0.543, 0.595, 0.4762, 0.5611, 0.553, 0.5079, 0.5182, 0.5621, 0.5498, 0.4989, 0.5508]	
