Results: 	[0.9803]	
Results: 	[0.9803, 0.9187]	
Results: 	[0.9803, 0.9187, 0.9764]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341, 0.9711]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341, 0.9711, 0.9437]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341, 0.9711, 0.9437, 0.9566]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341, 0.9711, 0.9437, 0.9566, 0.9314]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341, 0.9711, 0.9437, 0.9566, 0.9314, 0.9383]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341, 0.9711, 0.9437, 0.9566, 0.9314, 0.9383, 0.9172]	
Results: 	[0.9803, 0.9187, 0.9764, 0.9363, 0.9488, 0.8837, 0.965, 0.8906, 0.9869, 0.9295, 0.8886, 0.9693, 0.9226, 0.9226, 0.9504, 0.9447, 0.9216, 0.9306, 0.9564, 0.9205, 0.9525, 0.9427, 0.9341, 0.9711, 0.9437, 0.9566, 0.9314, 0.9383, 0.9172, 0.9465]
30 Support Sets: (Mean:0.9392533333333333, SD:0.025883129019036555) | 	
























