Results: 	[0.9047]	
Results: 	[0.9047, 0.8871]	
Results: 	[0.9047, 0.8871, 0.891]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657, 0.8955]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657, 0.8955, 0.9167]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657, 0.8955, 0.9167, 0.9002]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657, 0.8955, 0.9167, 0.9002, 0.888]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657, 0.8955, 0.9167, 0.9002, 0.888, 0.872]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657, 0.8955, 0.9167, 0.9002, 0.888, 0.872, 0.9086]	
Results: 	[0.9047, 0.8871, 0.891, 0.9025, 0.8824, 0.912, 0.9054, 0.9145, 0.8618, 0.8969, 0.9149, 0.8743, 0.893, 0.8987, 0.9102, 0.8811, 0.9022, 0.9036, 0.909, 0.8934, 0.8935, 0.9004, 0.8657, 0.8955, 0.9167, 0.9002, 0.888, 0.872, 0.9086, 0.8939]
30 Support Sets: (Mean:0.8957733333333333, SD:0.014378958125733907) | 	



