Results: 	[0.9141]	
Results: 	[0.9141, 0.9108]	
Results: 	[0.9141, 0.9108, 0.912]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115, 0.9118]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115, 0.9118, 0.9131]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115, 0.9118, 0.9131, 0.9104]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115, 0.9118, 0.9131, 0.9104, 0.9127]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115, 0.9118, 0.9131, 0.9104, 0.9127, 0.9177]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115, 0.9118, 0.9131, 0.9104, 0.9127, 0.9177, 0.9133]	
Results: 	[0.9141, 0.9108, 0.912, 0.9131, 0.911, 0.9156, 0.9137, 0.9177, 0.9101, 0.9129, 0.9166, 0.9108, 0.9118, 0.9131, 0.9148, 0.9109, 0.9134, 0.9139, 0.9148, 0.9115, 0.9118, 0.9131, 0.9104, 0.9127, 0.9177, 0.9133, 0.9107]	
