[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.49412508436873176],[0.9162857726972625],[0.8996355919822782],[0.9338582677165355],[0.9844333748443338],[0.9338582677165355],[0.49412508436873176]]	 ; [[0.49412508436873176],[0.9162857726972625],[0.8996355919822782],[0.9338582677165355],[0.9844333748443338],[0.9338582677165355],[0.49412508436873176]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5089367480092148],[0.9205230879153733],[0.9063306474927816],[0.937992125984252],[0.9873391448733915],[0.937992125984252],[0.5089367480092148]]	 ; [[0.5089367480092148],[0.9205230879153733],[0.9063306474927816],[0.937992125984252],[0.9873391448733915],[0.937992125984252],[0.5089367480092148]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5026013405681455],[0.9236525426007995],[0.9078092686104723],[0.9468503937007874],[0.9975103734439834],[0.9468503937007874],[0.5026013405681455]]	 ; [[0.5089367480092148],[0.9236525426007995],[0.9078092686104723],[0.9468503937007874],[0.9975103734439834],[0.9468503937007874],[0.5089367480092148]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.511853622196303],[0.9253280004188971],[0.9173321715770647],[0.9470472440944881],[0.9968873210209587],[0.9470472440944881],[0.511853622196303]]	 ; [[0.511853622196303],[0.9253280004188971],[0.9173321715770647],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.511853622196303]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5089003537243622],[0.9238167519596503],[0.910655962726067],[0.9448818897637795],[0.9948122017015978],[0.9448818897637795],[0.5089003537243622]]	 ; [[0.511853622196303],[0.9253280004188971],[0.9173321715770647],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.511853622196303]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6076030090722133],[0.9190662790468758],[0.921945823813148],[0.9163385826771654],[0.9518472395184724],[0.9163385826771654],[0.6076030090722133]]	 ; [[0.6076030090722133],[0.9253280004188971],[0.921945823813148],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6076030090722133]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5127535419023446],[0.9213144701580469],[0.9079745102488583],[0.9383858267716535],[0.9873391448733915],[0.9383858267716535],[0.5127535419023446]]	 ; [[0.6076030090722133],[0.9253280004188971],[0.921945823813148],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6076030090722133]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5082778179285539],[0.9231807263440037],[0.9089864007163421],[0.9437007874015748],[0.9935671301099813],[0.9437007874015748],[0.5082778179285539]]	 ; [[0.6076030090722133],[0.9253280004188971],[0.921945823813148],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6076030090722133]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6592541011917775],[0.758306707156458],[0.9272156019273314],[0.6651574803149606],[0.6658364466583645],[0.6651574803149606],[0.6592541011917776]]	 ; [[0.6592541011917775],[0.9253280004188971],[0.9272156019273314],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6592541011917776]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6690860291717764],[0.6537584112013732],[0.9350219894388201],[0.5366141732283465],[0.5213781652137817],[0.5366141732283465],[0.6690860291717764]]	 ; [[0.6690860291717764],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6690860291717764]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6790708507220062],[0.7267221067425481],[0.932152598737841],[0.6240157480314961],[0.6176836861768369],[0.6240157480314961],[0.6790708507220062]]	 ; [[0.6790708507220062],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6790708507220062]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6674358876858092],[0.7310149627733714],[0.9298888677883286],[0.6293307086614173],[0.6249481112494811],[0.6293307086614173],[0.6674358876858093]]	 ; [[0.6790708507220062],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6790708507220062]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6935244423741757],[0.7657573614805497],[0.932470184577894],[0.6753937007874015],[0.6733084267330842],[0.6753937007874016],[0.6935244423741758]]	 ; [[0.6935244423741757],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6935244423741758]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6567404675216032],[0.7496439751480691],[0.9271792069984532],[0.6535433070866141],[0.6531755915317559],[0.6535433070866141],[0.6567404675216031]]	 ; [[0.6935244423741757],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6935244423741758]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.667928434620623],[0.7837120902190252],[0.9278273295970991],[0.7],[0.7036729611952687],[0.7],[0.6679284346206229]]	 ; [[0.6935244423741757],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.6935244423741758]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7176927171960111],[0.8176489402275441],[0.9339137694523463],[0.7486220472440945],[0.7521793275217933],[0.7486220472440945],[0.7176927171960111]]	 ; [[0.7176927171960111],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.7176927171960111]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6479667408462193],[0.7638350799622778],[0.9254326966123939],[0.6724409448818898],[0.6752438265200249],[0.6724409448818898],[0.6479667408462193]]	 ; [[0.7176927171960111],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.7176927171960111]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6663939594151185],[0.8873463844915467],[0.9264488097835192],[0.8586614173228346],[0.8806806391367503],[0.8586614173228346],[0.6663939594151185]]	 ; [[0.7176927171960111],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.7176927171960111]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6813452416035287],[0.8871617596253836],[0.9282532979643134],[0.8576771653543307],[0.8779576587795765],[0.8576771653543307],[0.6813452416035287]]	 ; [[0.7176927171960111],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.7176927171960111]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6467334645207697],[0.6187963638262653],[0.9328113476173424],[0.49763779527559054],[0.4804898298048983],[0.49763779527559054],[0.6467334645207697]]	 ; [[0.7176927171960111],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.7176927171960111]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.708355495766677],[0.8133906672854302],[0.9328966360611687],[0.7423228346456693],[0.7462129072421664],[0.7423228346456693],[0.7083554957666771]]	 ; [[0.7176927171960111],[0.9253280004188971],[0.9350219894388201],[0.9470472440944881],[0.9975103734439834],[0.9470472440944881],[0.7176927171960111]]
