Results: 	[0.7471]	
Results: 	[0.7471, 0.6275]	
Results: 	[0.7471, 0.6275, 0.821]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953, 0.6459]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953, 0.6459, 0.7665]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953, 0.6459, 0.7665, 0.8366]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953, 0.6459, 0.7665, 0.8366, 0.5992]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953, 0.6459, 0.7665, 0.8366, 0.5992, 0.821]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953, 0.6459, 0.7665, 0.8366, 0.5992, 0.821, 0.8633]	
Results: 	[0.7471, 0.6275, 0.821, 0.5992, 0.7315, 0.5642, 0.8132, 0.8249, 0.4436, 0.6537, 0.6537, 0.5253, 0.668, 0.6459, 0.6965, 0.4358, 0.5469, 0.7549, 0.6381, 0.7686, 0.8755, 0.6342, 0.5953, 0.6459, 0.7665, 0.8366, 0.5992, 0.821, 0.8633, 0.4825]
30 Support Sets: (Mean:0.6759866666666666, SD:0.12359624682766485) | 	























