Results: 	[0.911]	
Results: 	[0.911, 0.912]	
Results: 	[0.911, 0.912, 0.9318]	
Results: 	[0.911, 0.912, 0.9318, 0.9061]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911, 0.9391]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911, 0.9391, 0.9398]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911, 0.9391, 0.9398, 0.9081]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911, 0.9391, 0.9398, 0.9081, 0.9355]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911, 0.9391, 0.9398, 0.9081, 0.9355, 0.941]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911, 0.9391, 0.9398, 0.9081, 0.9355, 0.941, 0.9174]	
Results: 	[0.911, 0.912, 0.9318, 0.9061, 0.9199, 0.9286, 0.9103, 0.9047, 0.898, 0.9174, 0.9243, 0.9266, 0.9065, 0.8523, 0.926, 0.8864, 0.9087, 0.942, 0.911, 0.9391, 0.9398, 0.9081, 0.9355, 0.941, 0.9174, 0.9239]	
