Results: 	[0.9404]	
Results: 	[0.9404, 0.937]	
Results: 	[0.9404, 0.937, 0.9298]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405, 0.931]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405, 0.931, 0.9354]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405, 0.931, 0.9354, 0.9367]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405, 0.931, 0.9354, 0.9367, 0.9409]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405, 0.931, 0.9354, 0.9367, 0.9409, 0.9415]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405, 0.931, 0.9354, 0.9367, 0.9409, 0.9415, 0.942]	
Results: 	[0.9404, 0.937, 0.9298, 0.9374, 0.9333, 0.9372, 0.9321, 0.9329, 0.9343, 0.934, 0.9298, 0.9405, 0.931, 0.9354, 0.9367, 0.9409, 0.9415, 0.942, 0.9302]	
