Results: 	[0.9041]	
Results: 	[0.9041, 0.9057]	
Results: 	[0.9041, 0.9057, 0.9065]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093, 0.9024]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093, 0.9024, 0.902]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093, 0.9024, 0.902, 0.8951]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093, 0.9024, 0.902, 0.8951, 0.9065]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093, 0.9024, 0.902, 0.8951, 0.9065, 0.8951]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093, 0.9024, 0.902, 0.8951, 0.9065, 0.8951, 0.8986]	
Results: 	[0.9041, 0.9057, 0.9065, 0.901, 0.9026, 0.9002, 0.8921, 0.9016, 0.9035, 0.9093, 0.9096, 0.9055, 0.9035, 0.9057, 0.8974, 0.9144, 0.9037, 0.8909, 0.9014, 0.9022, 0.889, 0.9022, 0.9093, 0.9024, 0.902, 0.8951, 0.9065, 0.8951, 0.8986, 0.9006]
30 Support Sets: (Mean:0.9020566666666666, SD:0.005679405222218328) | 	

