Results: 	[0.924]	
Results: 	[0.924, 0.9263]	
Results: 	[0.924, 0.9263, 0.9269]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263, 0.9242]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263, 0.9242, 0.9276]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263, 0.9242, 0.9276, 0.9172]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263, 0.9242, 0.9276, 0.9172, 0.9373]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263, 0.9242, 0.9276, 0.9172, 0.9373, 0.9244]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263, 0.9242, 0.9276, 0.9172, 0.9373, 0.9244, 0.9083]	
Results: 	[0.924, 0.9263, 0.9269, 0.9213, 0.9232, 0.9188, 0.9093, 0.9207, 0.9244, 0.9305, 0.9313, 0.9263, 0.9242, 0.9276, 0.9172, 0.9373, 0.9244, 0.9083, 0.9215]	
