[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6493287523064197],[0.8413068045345461],[0.8360429972706744],[0.855],[0.9474030243261012],[0.855],[0.6493287523064197]]	 ; [[0.6493287523064197],[0.8413068045345461],[0.8360429972706744],[0.855],[0.9474030243261012],[0.855],[0.6493287523064197]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6372788134574735],[0.8473544756504279],[0.8513845022401818],[0.8692592592592593],[0.9734823580977428],[0.8692592592592593],[0.6372788134574735]]	 ; [[0.6493287523064197],[0.8473544756504279],[0.8513845022401818],[0.8692592592592593],[0.9734823580977428],[0.8692592592592593],[0.6493287523064197]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6514782843891659],[0.8527771305796252],[0.8548261282401233],[0.8716666666666667],[0.9704206836108676],[0.8716666666666667],[0.6514782843891659]]	 ; [[0.6514782843891659],[0.8527771305796252],[0.8548261282401233],[0.8716666666666667],[0.9734823580977428],[0.8716666666666667],[0.6514782843891659]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.695896924661083],[0.8748842665368437],[0.8784717388352463],[0.8887037037037037],[0.9750273822562979],[0.8887037037037037],[0.6958969246610831]]	 ; [[0.695896924661083],[0.8748842665368437],[0.8784717388352463],[0.8887037037037037],[0.9750273822562979],[0.8887037037037037],[0.6958969246610831]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7262836419163962],[0.8796647386764782],[0.8779809552609302],[0.8877777777777778],[0.960333114179268],[0.8877777777777778],[0.7262836419163963]]	 ; [[0.7262836419163962],[0.8796647386764782],[0.8784717388352463],[0.8887037037037037],[0.9750273822562979],[0.8887037037037037],[0.7262836419163963]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7262765724304185],[0.8853281707858608],[0.8863757143817657],[0.8951851851851852],[0.9710716633793557],[0.8951851851851852],[0.7262765724304185]]	 ; [[0.7262836419163962],[0.8853281707858608],[0.8863757143817657],[0.8951851851851852],[0.9750273822562979],[0.8951851851851852],[0.7262836419163963]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7805419467950485],[0.8944990801504709],[0.8928398616129759],[0.8970370370370371],[0.9493754109138725],[0.8970370370370371],[0.7805419467950485]]	 ; [[0.7805419467950485],[0.8944990801504709],[0.8928398616129759],[0.8970370370370371],[0.9750273822562979],[0.8970370370370371],[0.7805419467950485]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7565134252250816],[0.8955574548907882],[0.895098944975608],[0.9022222222222223],[0.9675723049956179],[0.9022222222222223],[0.7565134252250816]]	 ; [[0.7805419467950485],[0.8955574548907882],[0.895098944975608],[0.9022222222222223],[0.9750273822562979],[0.9022222222222223],[0.7805419467950485]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8364106026359821],[0.8953480779197539],[0.9022962465468914],[0.8911111111111111],[0.9156441717791411],[0.8911111111111111],[0.8364106026359821]]	 ; [[0.8364106026359821],[0.8955574548907882],[0.9022962465468914],[0.9022222222222223],[0.9750273822562979],[0.9022222222222223],[0.8364106026359821]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8232911285020468],[0.9040698619679156],[0.9049018384792756],[0.9033333333333333],[0.9392943239097086],[0.9033333333333333],[0.8232911285020467]]	 ; [[0.8364106026359821],[0.9040698619679156],[0.9049018384792756],[0.9033333333333333],[0.9750273822562979],[0.9033333333333333],[0.8364106026359821]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.830233363732123],[0.9123344339857447],[0.912090611028316],[0.9125925925925926],[0.9495945649791804],[0.9125925925925926],[0.8302333637321231]]	 ; [[0.8364106026359821],[0.9123344339857447],[0.912090611028316],[0.9125925925925926],[0.9750273822562979],[0.9125925925925926],[0.8364106026359821]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8166846938559097],[0.9112301687731548],[0.9101784124028498],[0.9127777777777778],[0.9559500328731098],[0.9127777777777778],[0.8166846938559097]]	 ; [[0.8364106026359821],[0.9123344339857447],[0.912090611028316],[0.9127777777777778],[0.9750273822562979],[0.9127777777777778],[0.8364106026359821]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8325500379504254],[0.9105533922849396],[0.9109495337257687],[0.9101851851851852],[0.9450043821209465],[0.9101851851851852],[0.8325500379504254]]	 ; [[0.8364106026359821],[0.9123344339857447],[0.912090611028316],[0.9127777777777778],[0.9750273822562979],[0.9127777777777778],[0.8364106026359821]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8517422748191978],[0.9060197834883962],[0.9112847866419295],[0.9027777777777778],[0.925706771860618],[0.9027777777777778],[0.8517422748191978]]	 ; [[0.8517422748191978],[0.9123344339857447],[0.912090611028316],[0.9127777777777778],[0.9750273822562979],[0.9127777777777778],[0.8517422748191978]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8458499846940273],[0.9118248675248837],[0.9137365679516656],[0.9103703703703704],[0.939307624890447],[0.9103703703703704],[0.8458499846940273]]	 ; [[0.8517422748191978],[0.9123344339857447],[0.9137365679516656],[0.9127777777777778],[0.9750273822562979],[0.9127777777777778],[0.8517422748191978]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8337999194078599],[0.9184026227265504],[0.9176348037999186],[0.9194444444444444],[0.957922419460881],[0.9194444444444444],[0.8337999194078598]]	 ; [[0.8517422748191978],[0.9184026227265504],[0.9176348037999186],[0.9194444444444444],[0.9750273822562979],[0.9194444444444444],[0.8517422748191978]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8384420643925731],[0.9147750507560495],[0.9149253241400352],[0.9146296296296297],[0.9487404162102957],[0.9146296296296297],[0.838442064392573]]	 ; [[0.8517422748191978],[0.9184026227265504],[0.9176348037999186],[0.9194444444444444],[0.9750273822562979],[0.9194444444444444],[0.8517422748191978]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8281655390836533],[0.9182171824534363],[0.9172587908348456],[0.9198148148148149],[0.9609905763751918],[0.9198148148148149],[0.8281655390836533]]	 ; [[0.8517422748191978],[0.9184026227265504],[0.9176348037999186],[0.9198148148148149],[0.9750273822562979],[0.9198148148148149],[0.8517422748191978]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8281563851066597],[0.9191730876494885],[0.9182085892704817],[0.9209259259259259],[0.9625328659070991],[0.9209259259259259],[0.8281563851066596]]	 ; [[0.8517422748191978],[0.9191730876494885],[0.9182085892704817],[0.9209259259259259],[0.9750273822562979],[0.9209259259259259],[0.8517422748191978]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8500950845863997],[0.8962728157229491],[0.9061637948821999],[0.8909259259259259],[0.9092702169625246],[0.8909259259259259],[0.8500950845863997]]	 ; [[0.8517422748191978],[0.9191730876494885],[0.9182085892704817],[0.9209259259259259],[0.9750273822562979],[0.9209259259259259],[0.8517422748191978]]
