[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6357235265423851],[0.8431885235602096],[0.8426325249522851],[0.8633333333333333],[0.9655928117466579],[0.8633333333333333],[0.6357235265423851]]	 ; [[0.6357235265423851],[0.8431885235602096],[0.8426325249522851],[0.8633333333333333],[0.9655928117466579],[0.8633333333333333],[0.6357235265423851]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5810198440471394],[0.8234193590627722],[0.841699739796243],[0.8607407407407407],[0.9864124479509095],[0.8607407407407407],[0.5810198440471394]]	 ; [[0.6357235265423851],[0.8431885235602096],[0.8426325249522851],[0.8633333333333333],[0.9864124479509095],[0.8633333333333333],[0.6357235265423851]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.573076191538063],[0.8202295466374897],[0.8438947424435931],[0.8605555555555555],[0.9892661555312158],[0.8605555555555555],[0.573076191538063]]	 ; [[0.6357235265423851],[0.8431885235602096],[0.8438947424435931],[0.8633333333333333],[0.9892661555312158],[0.8633333333333333],[0.6357235265423851]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5502717334328571],[0.8077046285614166],[0.8444815404561156],[0.8566666666666667],[0.9940841367221736],[0.8566666666666667],[0.5502717334328571]]	 ; [[0.6357235265423851],[0.8431885235602096],[0.8444815404561156],[0.8633333333333333],[0.9940841367221736],[0.8633333333333333],[0.6357235265423851]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5752370045174015],[0.8221916607690926],[0.8552034383954156],[0.8633333333333333],[0.9927679158448389],[0.8633333333333333],[0.5752370045174016]]	 ; [[0.6357235265423851],[0.8431885235602096],[0.8552034383954156],[0.8633333333333333],[0.9940841367221736],[0.8633333333333333],[0.6357235265423851]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.695245063731416],[0.8760264925590703],[0.8815529906419737],[0.8905555555555555],[0.9783037475345168],[0.8905555555555555],[0.695245063731416]]	 ; [[0.695245063731416],[0.8760264925590703],[0.8815529906419737],[0.8905555555555555],[0.9940841367221736],[0.8905555555555555],[0.695245063731416]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7502778138877589],[0.887653103935418],[0.8857090451843538],[0.8933333333333333],[0.9574934268185802],[0.8933333333333333],[0.750277813887759]]	 ; [[0.7502778138877589],[0.887653103935418],[0.8857090451843538],[0.8933333333333333],[0.9940841367221736],[0.8933333333333333],[0.750277813887759]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7511898821230433],[0.8942055543483047],[0.8941127026223809],[0.9014814814814814],[0.9688869412795793],[0.9014814814814814],[0.7511898821230432]]	 ; [[0.7511898821230433],[0.8942055543483047],[0.8941127026223809],[0.9014814814814814],[0.9940841367221736],[0.9014814814814814],[0.7511898821230432]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7959514653896314],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.957931638913234],[0.9077777777777778],[0.7959514653896314]]	 ; [[0.7959514653896314],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.7959514653896314]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8402622563100445],[0.8791921177888044],[0.897217445990871],[0.8703703703703703],[0.8838737949167397],[0.8703703703703703],[0.8402622563100445]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8288830919103872],[0.8586791759772263],[0.8885740662282662],[0.8451851851851852],[0.8525093140477756],[0.8451851851851852],[0.8288830919103872]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8035583241427606],[0.7964969063508386],[0.8763715633012913],[0.7670370370370371],[0.7506573181419807],[0.7670370370370371],[0.8035583241427606]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8034435466197253],[0.7883706897214305],[0.8770954794424907],[0.7568518518518519],[0.7359193513039667],[0.7568518518518519],[0.8034435466197253]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.827497472658763],[0.835057157120469],[0.8859718110591462],[0.8148148148148148],[0.8091168091168092],[0.8148148148148148],[0.827497472658763]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8238531526372718],[0.8332574662623506],[0.8843238286168733],[0.8127777777777778],[0.8078018847249616],[0.8127777777777778],[0.8238531526372717]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.819417050186281],[0.8207634962606905],[0.8823829610489193],[0.797037037037037],[0.7869822485207101],[0.797037037037037],[0.819417050186281]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8174694067994316],[0.8277062855775313],[0.8814080352998869],[0.8061111111111111],[0.8010081087004164],[0.8061111111111111],[0.8174694067994316]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7982333354541792],[0.7804761006463783],[0.8754173782436707],[0.7472222222222221],[0.7243041858426473],[0.7472222222222222],[0.7982333354541791]]	 ; [[0.8402622563100445],[0.9049725742442448],[0.9035446747122903],[0.9077777777777778],[0.9940841367221736],[0.9077777777777778],[0.8402622563100445]]
