Results: 	[0.8537]	
Results: 	[0.8537, 0.831]	
Results: 	[0.8537, 0.831, 0.8442]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378, 0.8359]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378, 0.8359, 0.6491]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378, 0.8359, 0.6491, 0.7643]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378, 0.8359, 0.6491, 0.7643, 0.8365]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378, 0.8359, 0.6491, 0.7643, 0.8365, 0.8214]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378, 0.8359, 0.6491, 0.7643, 0.8365, 0.8214, 0.8422]	
Results: 	[0.8537, 0.831, 0.8442, 0.8373, 0.8072, 0.7889, 0.771, 0.7976, 0.8231, 0.7809, 0.8226, 0.8276, 0.56, 0.8436, 0.8281, 0.8368, 0.7565, 0.8112, 0.8378, 0.8359, 0.6491, 0.7643, 0.8365, 0.8214, 0.8422, 0.846]	
