Results: 	[0.8851]	
Results: 	[0.8851, 0.7483]	
Results: 	[0.8851, 0.7483, 0.8908]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573, 0.7923]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573, 0.7923, 0.6624]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573, 0.7923, 0.6624, 0.6697]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573, 0.7923, 0.6624, 0.6697, 0.9477]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573, 0.7923, 0.6624, 0.6697, 0.9477, 0.956]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573, 0.7923, 0.6624, 0.6697, 0.9477, 0.956, 0.8798]	
Results: 	[0.8851, 0.7483, 0.8908, 0.8426, 0.8279, 0.8708, 0.8748, 0.9322, 0.837, 0.6487, 0.8765, 0.7671, 0.8043, 0.7084, 0.9573, 0.7923, 0.6624, 0.6697, 0.9477, 0.956, 0.8798, 0.9562]	
