Results: 	[0.9407]	
Results: 	[0.9407, 0.9484]	
Results: 	[0.9407, 0.9484, 0.9471]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457, 0.9344]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457, 0.9344, 0.9416]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457, 0.9344, 0.9416, 0.932]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457, 0.9344, 0.9416, 0.932, 0.9444]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457, 0.9344, 0.9416, 0.932, 0.9444, 0.9477]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457, 0.9344, 0.9416, 0.932, 0.9444, 0.9477, 0.9423]	
Results: 	[0.9407, 0.9484, 0.9471, 0.9349, 0.9438, 0.9453, 0.9468, 0.941, 0.9462, 0.9403, 0.9396, 0.9401, 0.9401, 0.9344, 0.9298, 0.9427, 0.9436, 0.9457, 0.9344, 0.9416, 0.932, 0.9444, 0.9477, 0.9423, 0.9464]	
