Results: 	[0.9801]	
Results: 	[0.9801, 0.9432]	
Results: 	[0.9801, 0.9432, 0.9899]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801, 0.9647]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801, 0.9647, 0.9803]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801, 0.9647, 0.9803, 0.9693]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801, 0.9647, 0.9803, 0.9693, 0.97]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801, 0.9647, 0.9803, 0.9693, 0.97, 0.989]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801, 0.9647, 0.9803, 0.9693, 0.97, 0.989, 0.9415]	
Results: 	[0.9801, 0.9432, 0.9899, 0.9522, 0.9853, 0.9358, 0.943, 0.9759, 0.9774, 0.9702, 0.9695, 0.9748, 0.9853, 0.9472, 0.9921, 0.9393, 0.9801, 0.9647, 0.9803, 0.9693, 0.97, 0.989, 0.9415, 0.9625]	
