Results: 	[0.9422]	
Results: 	[0.9422, 0.942]	
Results: 	[0.9422, 0.942, 0.9446]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289, 0.9438]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289, 0.9438, 0.9427]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289, 0.9438, 0.9427, 0.9372]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289, 0.9438, 0.9427, 0.9372, 0.9392]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289, 0.9438, 0.9427, 0.9372, 0.9392, 0.9298]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289, 0.9438, 0.9427, 0.9372, 0.9392, 0.9298, 0.9403]	
Results: 	[0.9422, 0.942, 0.9446, 0.9341, 0.9366, 0.9459, 0.9298, 0.943, 0.9436, 0.9254, 0.9435, 0.9258, 0.9357, 0.922, 0.9293, 0.9435, 0.9375, 0.9391, 0.9363, 0.9395, 0.9445, 0.9456, 0.9289, 0.9438, 0.9427, 0.9372, 0.9392, 0.9298, 0.9403, 0.9404]
30 Support Sets: (Mean:0.9377266666666667, SD:0.006717806155303224) | 	

































