Results: 	[0.8824]	
Results: 	[0.8824, 0.8805]	
Results: 	[0.8824, 0.8805, 0.8818]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801, 0.8812]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801, 0.8812, 0.8833]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801, 0.8812, 0.8833, 0.8808]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801, 0.8812, 0.8833, 0.8808, 0.8808]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801, 0.8812, 0.8833, 0.8808, 0.8808, 0.8817]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801, 0.8812, 0.8833, 0.8808, 0.8808, 0.8817, 0.8802]	
Results: 	[0.8824, 0.8805, 0.8818, 0.8816, 0.8784, 0.8849, 0.8793, 0.8808, 0.8811, 0.8828, 0.8807, 0.8815, 0.8813, 0.8809, 0.8809, 0.8845, 0.8803, 0.8812, 0.8821, 0.8847, 0.8808, 0.8801, 0.8801, 0.8812, 0.8833, 0.8808, 0.8808, 0.8817, 0.8802, 0.8805]
30 Support Sets: (Mean:0.8813733333333333, SD:0.0014827591553059783) | 	





