[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6170251081454915],[0.9096005329260443],[0.9857382690107758],[0.8471428571428572],[0.8510714928867279],[0.8471428571428572],[0.6170251081454916]]	 ; [[0.6170251081454915],[0.9096005329260443],[0.9857382690107758],[0.8471428571428572],[0.8510714928867279],[0.8471428571428572],[0.6170251081454916]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6045975481830564],[0.9630284266631572],[0.9857541859197209],[0.9426785714285715],[0.9483255311487216],[0.9426785714285715],[0.6045975481830564]]	 ; [[0.6170251081454915],[0.9630284266631572],[0.9857541859197209],[0.9426785714285715],[0.9483255311487216],[0.9426785714285715],[0.6170251081454916]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5566264737098214],[0.9815227500168149],[0.9848194786872919],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.5566264737098214]]	 ; [[0.6170251081454915],[0.9815227500168149],[0.9857541859197209],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.6170251081454916]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.691366752110226],[0.8588109222257719],[0.987610068056558],[0.7644642857142857],[0.7657122276247074],[0.7644642857142857],[0.691366752110226]]	 ; [[0.691366752110226],[0.9815227500168149],[0.987610068056558],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.691366752110226]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5460015862615952],[0.9703631207981249],[0.9843195414748553],[0.9573214285714285],[0.9643435980551054],[0.9573214285714285],[0.5460015862615952]]	 ; [[0.691366752110226],[0.9815227500168149],[0.987610068056558],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.691366752110226]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7061699445574752],[0.9271694256082967],[0.9874695316842999],[0.8775],[0.8804249954979291],[0.8775],[0.7061699445574752]]	 ; [[0.7061699445574752],[0.9815227500168149],[0.987610068056558],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.7061699445574752]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6278932990026477],[0.9455379366327596],[0.9858725354969599],[0.9105357142857143],[0.9153610660904016],[0.9105357142857143],[0.6278932990026476]]	 ; [[0.7061699445574752],[0.9815227500168149],[0.987610068056558],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.7061699445574752]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6546260215869513],[0.9042417552015942],[0.9865323949613087],[0.8380357142857143],[0.8411669367909238],[0.8380357142857143],[0.6546260215869513]]	 ; [[0.7061699445574752],[0.9815227500168149],[0.987610068056558],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.7061699445574752]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6830829415573717],[0.848154969801139],[0.9875061825204942],[0.7480357142857142],[0.7491446065189987],[0.7480357142857142],[0.6830829415573717]]	 ; [[0.7061699445574752],[0.9815227500168149],[0.987610068056558],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.7061699445574752]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6947251054634068],[0.8357036401468916],[0.9878779152142111],[0.7292857142857143],[0.7298757428417072],[0.7292857142857143],[0.6947251054634067]]	 ; [[0.7061699445574752],[0.9815227500168149],[0.9878779152142111],[0.9783928571428572],[0.9855933729515577],[0.9783928571428572],[0.7061699445574752]]
