Results: 	[0.9619]	
Results: 	[0.9619, 0.9464]	
Results: 	[0.9619, 0.9464, 0.9172]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645, 0.9315]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645, 0.9315, 0.9437]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645, 0.9315, 0.9437, 0.9437]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645, 0.9315, 0.9437, 0.9437, 0.9513]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645, 0.9315, 0.9437, 0.9437, 0.9513, 0.9718]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645, 0.9315, 0.9437, 0.9437, 0.9513, 0.9718, 0.9575]	
Results: 	[0.9619, 0.9464, 0.9172, 0.954, 0.915, 0.9103, 0.9068, 0.9574, 0.9068, 0.937, 0.9185, 0.9349, 0.9517, 0.9708, 0.9496, 0.9645, 0.9315, 0.9437, 0.9437, 0.9513, 0.9718, 0.9575, 0.9535]	
