Results: 	[0.9886]	
Results: 	[0.9886, 0.9883]	
Results: 	[0.9886, 0.9883, 0.9894]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888, 0.989]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888, 0.989, 0.9894]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888, 0.989, 0.9894, 0.9893]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888, 0.989, 0.9894, 0.9893, 0.9898]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888, 0.989, 0.9894, 0.9893, 0.9898, 0.9881]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888, 0.989, 0.9894, 0.9893, 0.9898, 0.9881, 0.9895]	
Results: 	[0.9886, 0.9883, 0.9894, 0.9886, 0.9896, 0.9894, 0.989, 0.9885, 0.9902, 0.9886, 0.9894, 0.9892, 0.9888, 0.988, 0.9888, 0.9884, 0.9887, 0.9895, 0.9891, 0.9886, 0.988, 0.9883, 0.9888, 0.989, 0.9894, 0.9893, 0.9898, 0.9881, 0.9895, 0.9887]
30 Support Sets: (Mean:0.98892, SD:0.0005529856268007994) | 	



















