Results: 	[0.9437]	
Results: 	[0.9437, 0.9663]	
Results: 	[0.9437, 0.9663, 0.9824]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944, 0.9725]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944, 0.9725, 0.903]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944, 0.9725, 0.903, 0.9699]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944, 0.9725, 0.903, 0.9699, 0.9666]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944, 0.9725, 0.903, 0.9699, 0.9666, 0.9467]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944, 0.9725, 0.903, 0.9699, 0.9666, 0.9467, 0.9801]	
Results: 	[0.9437, 0.9663, 0.9824, 0.954, 0.9724, 0.9382, 0.9596, 0.9136, 0.9554, 0.9635, 0.8479, 0.948, 0.9463, 0.9098, 0.9241, 0.9489, 0.8671, 0.948, 0.9479, 0.9569, 0.8813, 0.9307, 0.944, 0.9725, 0.903, 0.9699, 0.9666, 0.9467, 0.9801, 0.9631]
30 Support Sets: (Mean:0.94173, SD:0.032616360925155345) | 	
















