Results: 	[0.6653]	
Results: 	[0.6653, 0.6739]	
Results: 	[0.6653, 0.6739, 0.626]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864, 0.6517]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864, 0.6517, 0.6424]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864, 0.6517, 0.6424, 0.6196]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864, 0.6517, 0.6424, 0.6196, 0.625]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864, 0.6517, 0.6424, 0.6196, 0.625, 0.6457]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864, 0.6517, 0.6424, 0.6196, 0.625, 0.6457, 0.6522]	
Results: 	[0.6653, 0.6739, 0.626, 0.6497, 0.6658, 0.6442, 0.6796, 0.6385, 0.6652, 0.6263, 0.6579, 0.6782, 0.6864, 0.6517, 0.6424, 0.6196, 0.625, 0.6457, 0.6522, 0.6878]	
