Results: 	[0.9095]	
Results: 	[0.9095, 0.9337]	
Results: 	[0.9095, 0.9337, 0.9429]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317, 0.9227]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317, 0.9227, 0.874]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317, 0.9227, 0.874, 0.894]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317, 0.9227, 0.874, 0.894, 0.9247]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317, 0.9227, 0.874, 0.894, 0.9247, 0.898]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317, 0.9227, 0.874, 0.894, 0.9247, 0.898, 0.9196]	
Results: 	[0.9095, 0.9337, 0.9429, 0.9045, 0.9373, 0.8897, 0.8765, 0.9061, 0.8911, 0.9317, 0.9227, 0.874, 0.894, 0.9247, 0.898, 0.9196, 0.9403]	
