[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5931516787596193],[0.8007258648655402],[0.9302708129535807],[0.7160877513711151],[0.7274288986447796],[0.7160877513711151],[0.5931516787596192]]	 ; [[0.5931516787596193],[0.8007258648655402],[0.9302708129535807],[0.7160877513711151],[0.7274288986447796],[0.7160877513711151],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.584628770732989],[0.910489722119714],[0.9296848504867045],[0.8939670932358318],[0.9225042947127314],[0.8939670932358318],[0.5846287707329891]]	 ; [[0.5931516787596193],[0.910489722119714],[0.9302708129535807],[0.8939670932358318],[0.9225042947127314],[0.8939670932358318],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5529821708481758],[0.9193595489675115],[0.926551228249603],[0.9126142595978062],[0.9457911815231914],[0.9126142595978062],[0.5529821708481758]]	 ; [[0.5931516787596193],[0.9193595489675115],[0.9302708129535807],[0.9126142595978062],[0.9457911815231914],[0.9126142595978062],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.539861709836896],[0.9285359796309846],[0.9260724913285229],[0.9310786106032907],[0.9671693071196793],[0.9310786106032907],[0.539861709836896]]	 ; [[0.5931516787596193],[0.9285359796309846],[0.9302708129535807],[0.9310786106032907],[0.9671693071196793],[0.9310786106032907],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5249965088674766],[0.9269156245619798],[0.9235962716813493],[0.9303473491773309],[0.967741935483871],[0.9303473491773309],[0.5249965088674766]]	 ; [[0.5931516787596193],[0.9285359796309846],[0.9302708129535807],[0.9310786106032907],[0.967741935483871],[0.9310786106032907],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5240078366629236],[0.9299595321654855],[0.9239899949979451],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5240078366629235]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5195833942732205],[0.929256904687473],[0.9231057992330002],[0.9358318098720293],[0.9742317236113762],[0.9358318098720293],[0.5195833942732205]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5353112561549286],[0.9256251585245429],[0.9249299435013779],[0.9263254113345522],[0.962397404084749],[0.9263254113345522],[0.5353112561549287]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5372580273324691],[0.9171025826395655],[0.9243478350579506],[0.910237659963437],[0.9446459247948081],[0.910237659963437],[0.537258027332469]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5435263661070112],[0.9218702885290074],[0.9255847376869871],[0.9182815356489945],[0.9528535980148883],[0.9182815356489945],[0.5435263661070113]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5806926737447828],[0.8900211034256793],[0.9284811937797302],[0.8586837294332724],[0.8843290704332888],[0.8586837294332724],[0.580692673744783]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5501227473932188],[0.9095942728045953],[0.9255336219548801],[0.8952468007312614],[0.9270853216262646],[0.8952468007312614],[0.5501227473932189]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5527338666296483],[0.9080950169835879],[0.9257804098713224],[0.8923217550274223],[0.9236495514411147],[0.8923217550274223],[0.5527338666296483]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.562922602624836],[0.9039381406206065],[0.9268196527652718],[0.8840950639853747],[0.9137239931284596],[0.8840950639853747],[0.5629226026248358]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5381169698787566],[0.9180471212044357],[0.9245276188450591],[0.9118829981718465],[0.9463638098873831],[0.9118829981718465],[0.5381169698787565]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5402814720432586],[0.9182819058733653],[0.92482836761378],[0.9120658135283364],[0.9463638098873831],[0.9120658135283364],[0.5402814720432587]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5521880931310212],[0.9162832484142525],[0.9261911025947744],[0.9071297989031079],[0.9398740217598779],[0.9071297989031079],[0.5521880931310212]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5685803030716181],[0.9192390016672236],[0.9284726101582457],[0.9107861060329068],[0.9423554113380416],[0.9107861060329068],[0.5685803030716182]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.591381736543027],[0.9022538754347175],[0.9300506684148452],[0.8791590493601462],[0.9057071960297767],[0.8791590493601462],[0.5913817365430268]]	 ; [[0.5931516787596193],[0.9299595321654855],[0.9302708129535807],[0.9363802559414991],[0.9744225997327735],[0.9363802559414991],[0.5931516787596192]]
