Results: 	[0.8483]	
Results: 	[0.8483, 0.8878]	
Results: 	[0.8483, 0.8878, 0.8815]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931, 0.8497]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931, 0.8497, 0.9057]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931, 0.8497, 0.9057, 0.8733]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931, 0.8497, 0.9057, 0.8733, 0.8907]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931, 0.8497, 0.9057, 0.8733, 0.8907, 0.8759]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931, 0.8497, 0.9057, 0.8733, 0.8907, 0.8759, 0.8495]	
Results: 	[0.8483, 0.8878, 0.8815, 0.8757, 0.8786, 0.8252, 0.915, 0.909, 0.8698, 0.8746, 0.9154, 0.8931, 0.8497, 0.9057, 0.8733, 0.8907, 0.8759, 0.8495, 0.8483]	
