Results: 	[0.94]	
Results: 	[0.94, 0.9386]	
Results: 	[0.94, 0.9386, 0.938]	
Results: 	[0.94, 0.9386, 0.938, 0.9381]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375, 0.9402]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375, 0.9402, 0.939]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375, 0.9402, 0.939, 0.9382]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375, 0.9402, 0.939, 0.9382, 0.938]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375, 0.9402, 0.939, 0.9382, 0.938, 0.938]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375, 0.9402, 0.939, 0.9382, 0.938, 0.938, 0.9393]	
Results: 	[0.94, 0.9386, 0.938, 0.9381, 0.9388, 0.9396, 0.9408, 0.9395, 0.9378, 0.9392, 0.94, 0.9379, 0.9379, 0.9365, 0.9375, 0.9402, 0.939, 0.9382, 0.938, 0.938, 0.9393, 0.9386]	
