Results: 	[0.9416]	
Results: 	[0.9416, 0.9407]	
Results: 	[0.9416, 0.9407, 0.9487]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092, 0.9544]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092, 0.9544, 0.9434]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092, 0.9544, 0.9434, 0.9281]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092, 0.9544, 0.9434, 0.9281, 0.9479]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092, 0.9544, 0.9434, 0.9281, 0.9479, 0.9251]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092, 0.9544, 0.9434, 0.9281, 0.9479, 0.9251, 0.9357]	
Results: 	[0.9416, 0.9407, 0.9487, 0.9415, 0.9293, 0.9291, 0.913, 0.9102, 0.9521, 0.9342, 0.9027, 0.954, 0.9365, 0.9544, 0.9388, 0.9193, 0.9451, 0.9327, 0.9245, 0.9251, 0.9201, 0.939, 0.9092, 0.9544, 0.9434, 0.9281, 0.9479, 0.9251, 0.9357, 0.9237]
30 Support Sets: (Mean:0.9333366666666667, SD:0.014181763018004865) | 	

















