Results: 	[0.8661]	
Results: 	[0.8661, 0.8323]	
Results: 	[0.8661, 0.8323, 0.8325]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212, 0.8493]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212, 0.8493, 0.8237]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212, 0.8493, 0.8237, 0.8234]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212, 0.8493, 0.8237, 0.8234, 0.8354]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212, 0.8493, 0.8237, 0.8234, 0.8354, 0.8416]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212, 0.8493, 0.8237, 0.8234, 0.8354, 0.8416, 0.871]	
Results: 	[0.8661, 0.8323, 0.8325, 0.8339, 0.8418, 0.8547, 0.8555, 0.8746, 0.8409, 0.8509, 0.8584, 0.8547, 0.8049, 0.8489, 0.8217, 0.8529, 0.8212, 0.8493, 0.8237, 0.8234, 0.8354, 0.8416, 0.871, 0.8391]	
