Results: 	[0.8496]	
Results: 	[0.8496, 0.8645]	
Results: 	[0.8496, 0.8645, 0.8641]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815, 0.8658]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815, 0.8658, 0.878]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815, 0.8658, 0.878, 0.8614]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815, 0.8658, 0.878, 0.8614, 0.8525]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815, 0.8658, 0.878, 0.8614, 0.8525, 0.8651]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815, 0.8658, 0.878, 0.8614, 0.8525, 0.8651, 0.8809]	
Results: 	[0.8496, 0.8645, 0.8641, 0.8649, 0.8509, 0.8538, 0.8565, 0.8904, 0.8397, 0.8815, 0.8658, 0.878, 0.8614, 0.8525, 0.8651, 0.8809, 0.8473]	
