[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.4989410934190917],[0.6751472420432665],[0.6323731138545954],[0.7707231040564374],[0.9947596263385737],[0.7707231040564374],[0.4989410934190917]]	 ; [[0.4989410934190917],[0.6751472420432665],[0.6323731138545954],[0.7707231040564374],[0.9947596263385737],[0.7707231040564374],[0.4989410934190917]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5088310055163692],[0.6845999568389237],[0.7724744509559128],[0.7767195767195767],[0.9981764303624344],[0.7767195767195767],[0.5088310055163692]]	 ; [[0.5088310055163692],[0.6845999568389237],[0.7724744509559128],[0.7767195767195767],[0.9981764303624344],[0.7767195767195767],[0.5088310055163692]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5000481742150269],[0.6754145858515079],[0.6554562908428069],[0.7735449735449735],[0.9993163172288059],[0.7735449735449735],[0.500048174215027]]	 ; [[0.5088310055163692],[0.6845999568389237],[0.7724744509559128],[0.7767195767195767],[0.9993163172288059],[0.7767195767195767],[0.5088310055163692]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5001614099236739],[0.6750204012712717],[0.6739006015519161],[0.7733686067019401],[0.9995440036479708],[0.7733686067019401],[0.5001614099236739]]	 ; [[0.5088310055163692],[0.6845999568389237],[0.7724744509559128],[0.7767195767195767],[0.9995440036479708],[0.7767195767195767],[0.5088310055163692]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5004220685842774],[0.6762927188014295],[0.6638554926921263],[0.773015873015873],[0.9977215766689451],[0.773015873015873],[0.5004220685842774]]	 ; [[0.5088310055163692],[0.6845999568389237],[0.7724744509559128],[0.7767195767195767],[0.9995440036479708],[0.7767195767195767],[0.5088310055163692]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5429638620873939],[0.7182741640913219],[0.825304880084244],[0.7924162257495591],[0.9986323227718259],[0.7924162257495591],[0.5429638620873939]]	 ; [[0.5429638620873939],[0.7182741640913219],[0.825304880084244],[0.7924162257495591],[0.9995440036479708],[0.7924162257495591],[0.5429638620873939]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5289807977469755],[0.7053125713501806],[0.8165469915854014],[0.7864197530864198],[0.9986329460013671],[0.7864197530864198],[0.5289807977469755]]	 ; [[0.5429638620873939],[0.7182741640913219],[0.825304880084244],[0.7924162257495591],[0.9995440036479708],[0.7924162257495591],[0.5429638620873939]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6911184056321942],[0.8188772237975],[0.8255485636196825],[0.8361552028218695],[0.9562243502051984],[0.8361552028218695],[0.6911184056321942]]	 ; [[0.6911184056321942],[0.8188772237975],[0.8255485636196825],[0.8361552028218695],[0.9995440036479708],[0.8361552028218695],[0.6911184056321942]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6502374247160132],[0.8000369012115089],[0.8276697386417933],[0.8299823633156966],[0.978573056758605],[0.8299823633156966],[0.6502374247160133]]	 ; [[0.6911184056321942],[0.8188772237975],[0.8276697386417933],[0.8361552028218695],[0.9995440036479708],[0.8361552028218695],[0.6911184056321942]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6559057853277007],[0.800943443784059],[0.8178901807106818],[0.8271604938271605],[0.9683299156983367],[0.8271604938271605],[0.6559057853277007]]	 ; [[0.6911184056321942],[0.8188772237975],[0.8276697386417933],[0.8361552028218695],[0.9995440036479708],[0.8361552028218695],[0.6911184056321942]]
