Results: 	[0.7323]	
Results: 	[0.7323, 0.7862]	
Results: 	[0.7323, 0.7862, 0.7982]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991, 0.8528]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991, 0.8528, 0.7242]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991, 0.8528, 0.7242, 0.7792]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991, 0.8528, 0.7242, 0.7792, 0.7512]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991, 0.8528, 0.7242, 0.7792, 0.7512, 0.6968]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991, 0.8528, 0.7242, 0.7792, 0.7512, 0.6968, 0.6595]	
Results: 	[0.7323, 0.7862, 0.7982, 0.6369, 0.6677, 0.8035, 0.621, 0.7878, 0.818, 0.7231, 0.8484, 0.8042, 0.7677, 0.7025, 0.7797, 0.7576, 0.8276, 0.7428, 0.6991, 0.8528, 0.7242, 0.7792, 0.7512, 0.6968, 0.6595, 0.7219]	
